"Decision","SourcePath","ReleasePath","ArchivePath","SizeBytes","SHA256_Source","SHA256_Release","SHA256_Archive","Reason"
"COPIED","Banglish Analysis\banglish_sentiment_pipeline.py","src\banglish\banglish_sentiment_pipeline.py","archive\original_scripts\Banglish Analysis\banglish_sentiment_pipeline.py","23676","CAD769CBA65632880D5D3B42378B5746076D90D8095E33AB59C61E10F519839F","CAD769CBA65632880D5D3B42378B5746076D90D8095E33AB59C61E10F519839F","CAD769CBA65632880D5D3B42378B5746076D90D8095E33AB59C61E10F519839F","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_A\brand_a_cleaned_ROBERTA.py","src\preprocessing\brand_a_clean_roberta.py","archive\original_scripts\Clean data\BRAND_A\brand_a_cleaned_ROBERTA.py","916","6617B1E0855852205803A4F8A4856639E320198A857883AB455E4D2A2A69D925","64F0C51F352C3A06FB8421F565C12BFEBDDF37B54055B123E35CC85DFF8D0451","5B7020CF97E381973871FA4377189CD2CB10E5BC579F393973CF6EA71DF9EF22","Modified for this release: see docs/CODE_CHANGES.md, 'Defects repaired' / 'Two more defects found'. Original (source) hash preserved above; archive/ copy is untouched (still matches SHA256_Source)."
"COPIED","Clean data\BRAND_A\brand_a_cleaned_VADER.py","src\preprocessing\brand_a_clean_vader.py","archive\original_scripts\Clean data\BRAND_A\brand_a_cleaned_VADER.py","981","D1A1117DAC537E093F26ADF3680DCF93B9C06959A0A00B99BD8016AE6B14C5D5","3C4FB47EF488A304B39ED78E485AC71F38DB58077F7DD92262F1F178F15A79F1","3C4FB47EF488A304B39ED78E485AC71F38DB58077F7DD92262F1F178F15A79F1","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_B\brand_b_bangla.py","src\preprocessing\brand_b_bangla.py","archive\original_scripts\Clean data\BRAND_B\brand_b_bangla.py","660","FAEC10EEFADB588D7DD7F4C0240E81BDAEF14DC54162C0A5F6E02ADB65AE8853","B46AA3C635E43A342F9CB838CCCAF962EF26CB54B441566953A8F9933338F5E6","B46AA3C635E43A342F9CB838CCCAF962EF26CB54B441566953A8F9933338F5E6","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_B\brand_b_cleaned_ROBERTA.py","src\preprocessing\brand_b_clean_roberta.py","archive\original_scripts\Clean data\BRAND_B\brand_b_cleaned_ROBERTA.py","916","64A769F98561FE5AE192272C36F62D27B82951419665B49343D499216135D825","D940290AE3436A1777CD31C75DA99E1408CBB1DF3F302F15B0A3319843CDF661","2FA18193D1ED6E0C999BDCEFDA1067BD214D2216196AE6DD7EF16C2514325707","Modified for this release: see docs/CODE_CHANGES.md, 'Defects repaired' / 'Two more defects found'. Original (source) hash preserved above; archive/ copy is untouched (still matches SHA256_Source)."
"COPIED","Clean data\BRAND_B\brand_b_cleaned_VADER.py","src\preprocessing\brand_b_clean_vader.py","archive\original_scripts\Clean data\BRAND_B\brand_b_cleaned_VADER.py","985","64BA7BC2F3C61906380C901BE1A1344B93BDC2CF0EF8EC7F6A3802CE20F1094A","859BD50068F9D7D16E4C915770908C0FCD907880A697F253859A22761B3F9221","FFA297FC268A4BF1F3032DE50C9C9AC40FCE8F129037852CB232BAEF347413DB","Modified for this release: see docs/CODE_CHANGES.md, 'Defects repaired' / 'Two more defects found'. Original (source) hash preserved above; archive/ copy is untouched (still matches SHA256_Source)."
"COPIED","Clean data\BRAND_B\brand_b_translated.py","src\preprocessing\brand_b_translated.py","archive\original_scripts\Clean data\BRAND_B\brand_b_translated.py","686","0A1DDD0D2A711913134CDC926AE64EAF87E2A999A28A93369E2B863BEB30F1CD","1CCEE23B201E46B38A9D5710A38325CFD3521A0CDFA130483839C878671541EF","1CCEE23B201E46B38A9D5710A38325CFD3521A0CDFA130483839C878671541EF","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_C\brand_c_cleaned_ROBERTA.py","src\preprocessing\brand_c_clean_roberta.py","archive\original_scripts\Clean data\BRAND_C\brand_c_cleaned_ROBERTA.py","931","2C1D018CAC398718E68354764BC50ED73BB41042966373DC974FA83DF0BEAE5F","22E4ABDFD8202BF004E589EBF42391AF6B6364BDE2E3069E95792A93CD8DE17B","22E4ABDFD8202BF004E589EBF42391AF6B6364BDE2E3069E95792A93CD8DE17B","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_C\brand_c_cleaned_VADER.py","src\preprocessing\brand_c_clean_vader.py","archive\original_scripts\Clean data\BRAND_C\brand_c_cleaned_VADER.py","996","A6B3371B1FCACAB9BD06E779B34721557106ED0B36760284B96033D164AB771D","DE5D89CE637192CD74C8D0563702720353B9F89C3F079C9A21E3C49DC168F436","DE5D89CE637192CD74C8D0563702720353B9F89C3F079C9A21E3C49DC168F436","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
"COPIED","Clean data\BRAND_C\brand_c_translated.py","src\preprocessing\brand_c_translated.py","archive\original_scripts\Clean data\BRAND_C\brand_c_translated.py","689","9B2D6A7557486EE9219F856798FB4AEF9273AC3E4D137E686B5C94C9B0696DD4","47535E26E1E7CB184225A8BFB51C60D6AE317D6B73A2ADCD376B39A154ECA4A6","47535E26E1E7CB184225A8BFB51C60D6AE317D6B73A2ADCD376B39A154ECA4A6","In-scope manuscript script (VADER/RoBERTa/Banglish/preprocessing/utility); copied unmodified, renamed for src/ layout; untouched copy kept under archive/original_scripts/. See docs/CODE_CHANGES.md."
